-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1.24167,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,41.1373,54.469,76.4283,88.7753,102.442,61.5457,-1,-1,-1,-1,-1,-1,-1
-1,-1,0.486333,61.4443,1.37367,1.69033,0,0,61.585,2.34133,-1,-1,-1,-1,-1,-1
-1,-1,-1,45.95,54.5863,91.9603,45.7263,0,58.4997,0.519333,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,12.075,21.434,0,50.2383,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,8.59433,18.683,26.2777,24.8617,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,2.249,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
