-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0.410333,0.410333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,29.589,63.6833,120.532,111.307,37.211,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,50.783,13.6143,0,2.45267,102.33,0.635333,-1,-1,-1,-1,-1,-1,-1
-1,-1,0.835333,32.426,60.3083,0,0,85.6333,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,11.882,42.149,63.3977,43.4953,17.4473,4.22967,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,13.219,3.498,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
